2022-05-142 00:09:27 INFO Neither @ContextConfiguration nor @ContextHierarchy found for test class [aehdb.AehdbApplicationTests], using SpringBootContextLoader
2022-05-142 00:09:27 INFO Could not detect default resource locations for test class [aehdb.AehdbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-142 00:09:27 INFO Could not detect default configuration classes for test class [aehdb.AehdbApplicationTests]: AehdbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-142 00:09:27 INFO Found @SpringBootConfiguration aehdb.AehdbApplication for test class aehdb.AehdbApplicationTests
2022-05-142 00:09:27 INFO Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-05-142 00:09:27 INFO Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@f2c488, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54acff7d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7bc9e6ab, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5488b5c5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4248ed58, org.springframework.test.context.support.DirtiesContextTestExecutionListener@712ca57b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4564e94b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@54534abf, org.springframework.test.context.event.EventPublishingTestExecutionListener@51745f40, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@45673f68, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@27abb83e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@69e308c6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1a1ed4e5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@667e34b1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1c6e0a08, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6dba847b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1efdcd5]
2022-05-142 00:09:27 INFO HV000001: Hibernate Validator 6.2.3.Final
2022-05-142 00:09:27 INFO Starting AehdbApplicationTests using Java 17.0.2 on edwin-Mac-mini.local with PID 16359 (started by edwin in /Users/edwin/codecode/spring/chat-platform)
2022-05-142 00:09:27 INFO No active profile set, falling back to 1 default profile: "default"
2022-05-142 00:09:27 INFO Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-142 00:09:27 INFO Finished Spring Data repository scanning in 23 ms. Found 3 JPA repository interfaces.
2022-05-142 00:09:27 INFO HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-142 00:09:27 INFO HHH000412: Hibernate ORM core version 5.6.7.Final
2022-05-142 00:09:27 INFO HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-142 00:09:27 DEBUG Adding type registration boolean -> org.hibernate.type.BooleanType@dd737ea
2022-05-142 00:09:27 DEBUG Adding type registration boolean -> org.hibernate.type.BooleanType@dd737ea
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@dd737ea
2022-05-142 00:09:27 DEBUG Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@49e7e8f1
2022-05-142 00:09:27 DEBUG Adding type registration true_false -> org.hibernate.type.TrueFalseType@1247c72e
2022-05-142 00:09:27 DEBUG Adding type registration yes_no -> org.hibernate.type.YesNoType@1f179f51
2022-05-142 00:09:27 DEBUG Adding type registration byte -> org.hibernate.type.ByteType@6987a133
2022-05-142 00:09:27 DEBUG Adding type registration byte -> org.hibernate.type.ByteType@6987a133
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6987a133
2022-05-142 00:09:27 DEBUG Adding type registration character -> org.hibernate.type.CharacterType@2a1e57c6
2022-05-142 00:09:27 DEBUG Adding type registration char -> org.hibernate.type.CharacterType@2a1e57c6
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2a1e57c6
2022-05-142 00:09:27 DEBUG Adding type registration short -> org.hibernate.type.ShortType@6d421fe
2022-05-142 00:09:27 DEBUG Adding type registration short -> org.hibernate.type.ShortType@6d421fe
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6d421fe
2022-05-142 00:09:27 DEBUG Adding type registration integer -> org.hibernate.type.IntegerType@ba4f370
2022-05-142 00:09:27 DEBUG Adding type registration int -> org.hibernate.type.IntegerType@ba4f370
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@ba4f370
2022-05-142 00:09:27 DEBUG Adding type registration long -> org.hibernate.type.LongType@1682e6a
2022-05-142 00:09:27 DEBUG Adding type registration long -> org.hibernate.type.LongType@1682e6a
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Long -> org.hibernate.type.LongType@1682e6a
2022-05-142 00:09:27 DEBUG Adding type registration float -> org.hibernate.type.FloatType@67b560fe
2022-05-142 00:09:27 DEBUG Adding type registration float -> org.hibernate.type.FloatType@67b560fe
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Float -> org.hibernate.type.FloatType@67b560fe
2022-05-142 00:09:27 DEBUG Adding type registration double -> org.hibernate.type.DoubleType@ca546a1
2022-05-142 00:09:27 DEBUG Adding type registration double -> org.hibernate.type.DoubleType@ca546a1
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@ca546a1
2022-05-142 00:09:27 DEBUG Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3ea48c37
2022-05-142 00:09:27 DEBUG Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3ea48c37
2022-05-142 00:09:27 DEBUG Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3d0352
2022-05-142 00:09:27 DEBUG Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3d0352
2022-05-142 00:09:27 DEBUG Adding type registration string -> org.hibernate.type.StringType@38732372
2022-05-142 00:09:27 DEBUG Adding type registration java.lang.String -> org.hibernate.type.StringType@38732372
2022-05-142 00:09:27 DEBUG Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6c6c2a73
2022-05-142 00:09:27 DEBUG Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@590013c7
2022-05-142 00:09:27 DEBUG Adding type registration url -> org.hibernate.type.UrlType@6f07d414
